Measure,Ent_Type,Exact,Partial,Strict
Actual,638,638,638,638
Correct,607,604,604,602
Incorrect,31,34,0,36
Missed,32,32,32,32
Partial,0,0,34,0
Possible,670,670,670,670
Precision,0.95141065830721,0.9467084639498433,0.9733542319749217,0.9435736677115988
Recall,0.9059701492537313,0.9014925373134328,0.926865671641791,0.8985074626865671
Spurious,0,0,0,0

CARDINAL

Measure,Ent_Type,Exact,Partial,Strict
Actual,34,34,34,34
Correct,33,33,33,33
Incorrect,1,1,0,1
Missed,4,4,4,4
Partial,0,0,1,0
Possible,38,38,38,38
Precision,0.9705882352941176,0.9705882352941176,0.9852941176470589,0.9705882352941176
Recall,0.868421052631579,0.868421052631579,0.881578947368421,0.868421052631579
Spurious,0,0,0,0

GPE

Measure,Ent_Type,Exact,Partial,Strict
Actual,11,11,11,11
Correct,11,9,9,9
Incorrect,0,2,0,2
Missed,0,0,0,0
Partial,0,0,2,0
Possible,11,11,11,11
Precision,1.0,0.8181818181818182,0.9090909090909091,0.8181818181818182
Recall,1.0,0.8181818181818182,0.9090909090909091,0.8181818181818182
Spurious,0,0,0,0

COLOR

Measure,Ent_Type,Exact,Partial,Strict
Actual,125,125,125,125
Correct,120,121,121,120
Incorrect,5,4,0,5
Missed,5,5,5,5
Partial,0,0,4,0
Possible,130,130,130,130
Precision,0.96,0.968,0.984,0.96
Recall,0.9230769230769231,0.9307692307692308,0.9461538461538461,0.9230769230769231
Spurious,0,0,0,0

DATE

Measure,Ent_Type,Exact,Partial,Strict
Actual,106,106,106,106
Correct,103,101,101,101
Incorrect,3,5,0,5
Missed,0,0,0,0
Partial,0,0,5,0
Possible,106,106,106,106
Precision,0.9716981132075472,0.9528301886792453,0.9764150943396226,0.9528301886792453
Recall,0.9716981132075472,0.9528301886792453,0.9764150943396226,0.9528301886792453
Spurious,0,0,0,0

PERSON

Measure,Ent_Type,Exact,Partial,Strict
Actual,95,95,95,95
Correct,90,90,90,90
Incorrect,5,5,0,5
Missed,4,4,4,4
Partial,0,0,5,0
